估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
202,399.9851672,399.9851199,0.00004727,,,,,202,3.71E-05,1.22E-01,,,,,,
203,401.8392084,401.8392286,0.00002021,,,,,203,3.24E-05,1.03E-01,,,,,,
204,402.8619875,402.8619178,0.00006976,,,,,204,3.15E-05,1.05E-01,,,,,,
205,405.1345246,404.2364418,0.89808282,,,,,205,5.87E-05,1.17E-01,,,,,,
206,405.1344367,405.1343875,0.00004923,,,,,206,3.35E-05,1.07E-01,,,,,,
207,407.5814967,407.5814604,0.00003634,,,,,207,3.38E-05,1.06E-01,,,,,,
208,408.9472547,408.9472455,0.0000092,,,,,208,3.13E-05,9.53E-02,,,,,,
209,410.5139125,410.5138692,0.00004333,,,,,209,3.45E-05,1.01E-01,,,,,,
210,411.9722633,411.9722678,0.00000453,,,,,210,4.86E-05,1.02E-01,,,,,,
211,413.26279,413.2627361,0.00005391,,,,,211,3.23E-05,1.18E-01,,,,,,
212,415.455916,415.0188098,0.43710624,,,,,212,3.12E-05,1.19E-01,,,,,,
213,415.4553093,415.455215,0.00009432,,,,,213,3.38E-05,1.19E-01,,,,,,
214,418.3877436,418.3877058,0.00003777,,,,,214,3.21E-05,1.17E-01,,,,,,
215,419.8613737,419.8613648,0.00000885,,,,,215,3.26E-05,1.12E-01,,,,,,
216,420.6438455,420.6438276,0.00001791,,,,,216,3.12E-05,1.06E-01,,,,,,
217,422.0767392,422.0767101,0.00002909,,,,,217,3.23E-05,1.12E-01,,,,,,
218,423.7165973,423.7165796,0.00001762,,,,,218,3.24E-05,1.13E-01,,,,,,
219,425.0699133,425.0698825,0.0000308,,,,,219,3.10E-05,1.16E-01,,,,,,
220,427.208848,427.2088251,0.00002295,,,,,220,3.17E-05,1.05E-01,,,,,,
221,428.127931,428.1279141,0.00001692,,,,,221,3.27E-05,1.20E-01,,,,,,
222,430.3287925,430.3287454,0.00004704,,,,,222,3.76E-05,1.06E-01,,,,,,
223,432.1843832,431.3013069,0.88307624,,,,,223,3.36E-05,1.23E-01,,,,,,
